date,close,ema_20,ema_50,ema_200,bull_regime,bear_regime,neutral_regime,regime
2025-03-05,22337.30078125,22718.898439634766,23168.53746988971,,False,False,True,NEUTRAL
2025-03-06,22544.69921875,22702.30803764574,23144.073224746975,,False,False,True,NEUTRAL
2025-03-07,22552.5,22688.040605489,23120.874274756898,,False,False,True,NEUTRAL
2025-03-10,22460.30078125,22666.35109841862,23094.969431874273,,False,False,True,NEUTRAL
2025-03-11,22497.900390625,22650.308173866848,23071.55495966842,,False,False,True,NEUTRAL
2025-03-12,22470.5,22633.183585879528,23047.98417693633,,False,False,True,NEUTRAL
2025-03-13,22397.19921875,22610.708884248143,23022.463198183927,,False,False,True,NEUTRAL
2025-03-17,22508.75,22600.99851431975,23002.317582568874,,False,False,True,NEUTRAL
2025-03-18,22834.30078125,22623.217777836915,22995.728688399508,,False,False,True,NEUTRAL
2025-03-19,22907.599609375,22650.30176179292,22992.27264608482,,False,False,True,NEUTRAL
2025-03-20,23190.650390625,22701.763535967406,23000.05216547855,,False,False,True,NEUTRAL
2025-03-21,23350.400390625,22763.538474506226,23013.791311562727,,False,False,True,NEUTRAL
2025-03-24,23658.349609375,22848.758582588966,23039.068107555366,,False,False,True,NEUTRAL
2025-03-25,23668.650390625,22926.843516687633,23063.757608852215,,False,False,True,NEUTRAL
2025-03-26,23486.849609375,22980.177430276908,23080.34945200997,,False,False,True,NEUTRAL
2025-03-27,23591.94921875,23038.441410131487,23100.412187960563,,False,False,True,NEUTRAL
2025-03-28,23519.349609375,23084.24219101182,23116.841106447406,,False,False,True,NEUTRAL
2025-04-01,23165.69921875,23092.000003177363,23118.75711085143,,False,False,True,NEUTRAL
2025-04-02,23332.349609375,23114.89044186285,23127.133287264118,,False,False,True,NEUTRAL
2025-04-03,23250.099609375,23127.76750543544,23131.95549597435,,False,False,True,NEUTRAL
2025-04-04,22904.44921875,23106.499097179683,23123.033681181238,,False,False,True,NEUTRAL
2025-04-07,22161.599609375,23016.508669769715,23085.33038424766,,False,False,True,NEUTRAL
2025-04-08,22535.849609375,22970.731616398793,23063.782118566378,,False,False,True,NEUTRAL
2025-04-09,22399.150390625,22916.295309182242,23037.718129235345,,False,False,True,NEUTRAL
2025-04-11,22828.55078125,22907.93868747441,23029.515488137884,,False,False,True,NEUTRAL
2025-04-15,23328.55078125,22947.9969821197,23041.242362377576,,False,False,True,NEUTRAL
2025-04-16,23437.19921875,22994.587671322584,23056.770082235318,,False,False,True,NEUTRAL
2025-04-17,23851.650390625,23076.21269220853,23087.941859034912,,False,False,True,NEUTRAL
2025-04-21,24125.55078125,23176.149653069624,23128.632405004133,,False,False,True,NEUTRAL
2025-04-22,24167.25,23270.54016230109,23169.362506768677,,False,False,True,NEUTRAL
2025-04-23,24328.94921875,23371.341024820034,23214.836495473824,,False,False,True,NEUTRAL
2025-04-24,24246.69921875,23454.708471860984,23255.301700308184,,False,False,True,NEUTRAL
2025-04-25,24039.349609375,23510.388580195653,23286.048677134335,,False,False,True,NEUTRAL
2025-04-28,24328.5,23588.303953510353,23326.929121168283,,False,False,True,NEUTRAL
2025-04-29,24335.94921875,23659.508264485557,23366.498536759722,,False,False,True,NEUTRAL
2025-04-30,24334.19921875,23723.764545844075,23404.447583112284,,False,False,True,NEUTRAL
2025-05-02,24346.69921875,23783.0916575494,23441.398627647097,,False,False,True,NEUTRAL
2025-05-05,24461.150390625,23847.668679747076,23481.388892861916,,False,False,True,NEUTRAL
2025-05-06,24379.599609375,23898.32876828307,23516.6128425291,,False,False,True,NEUTRAL
2025-05-07,24414.400390625,23947.478446601348,23551.820197356392,,False,False,True,NEUTRAL
2025-05-08,24273.80078125,23978.55676418693,23580.13316143065,,False,False,True,NEUTRAL
2025-05-09,24008.0,23981.360881883415,23596.912253139253,,False,False,True,NEUTRAL
2025-05-12,24924.69921875,24071.20262825166,23648.98233022203,,False,False,True,NEUTRAL
2025-05-13,24578.349609375,24119.5023407396,23685.42810587509,,False,False,True,NEUTRAL
2025-05-14,24666.900390625,24171.635488347732,23723.917215080968,,False,False,True,NEUTRAL
2025-05-15,25062.099609375,24256.441595112236,23776.394956033677,,False,False,True,NEUTRAL
2025-05-16,25019.80078125,24329.1424699825,23825.155968787258,,False,False,True,NEUTRAL
2025-05-19,24945.44921875,24387.8383508175,23869.08903741325,,False,False,True,NEUTRAL
2025-05-20,24683.900390625,24416.034735561072,23901.042423813713,,False,False,True,NEUTRAL
2025-05-21,24813.44921875,24453.883733960014,23936.823082438663,,False,False,True,NEUTRAL
2025-05-22,24609.69921875,24468.723303940013,23963.210381901852,,False,False,True,NEUTRAL
2025-05-23,24853.150390625,24505.33540743382,23998.109990087076,,False,False,True,NEUTRAL
2025-05-26,25001.150390625,24552.55588202346,24037.44490775523,,False,False,True,NEUTRAL
2025-05-27,24826.19921875,24578.61715218789,24068.37644936287,,False,False,True,NEUTRAL
2025-05-28,24752.44921875,24595.172587098565,24095.20283247609,,False,False,True,NEUTRAL
2025-05-29,24833.599609375,24617.879922553464,24124.159568825067,,False,False,True,NEUTRAL
2025-05-30,24750.69921875,24630.52937933409,24148.729751175066,,False,False,True,NEUTRAL
2025-06-02,24716.599609375,24638.72654409989,24170.99915737899,,False,False,True,NEUTRAL
2025-06-03,24542.5,24629.562111328472,24185.567817873933,,False,False,True,NEUTRAL
2025-06-04,24620.19921875,24628.67040727338,24202.612186535738,,False,False,True,NEUTRAL
2025-06-05,24750.900390625,24640.31135806877,24224.113684735315,,False,False,True,NEUTRAL
2025-06-06,25003.05078125,24674.857969800316,24254.660237539814,,False,False,True,NEUTRAL
2025-06-09,25103.19921875,24715.65237446219,24287.93627601865,,False,False,True,NEUTRAL
2025-06-10,25104.25,24752.66167213246,24319.94857891988,,False,False,True,NEUTRAL
2025-06-11,25141.400390625,24789.68440722699,24352.162375457337,,False,False,True,NEUTRAL
