symbol,CURRENT_trades,CURRENT_total_net_pct,CURRENT_avg_net_pct,CURRENT_median_net_pct,CURRENT_wins,CURRENT_losses,CURRENT_win_rate_pct,LONG_RSI_ZONE_trades,LONG_RSI_ZONE_total_net_pct,LONG_RSI_ZONE_avg_net_pct,LONG_RSI_ZONE_median_net_pct,LONG_RSI_ZONE_wins,LONG_RSI_ZONE_losses,LONG_RSI_ZONE_win_rate_pct,avg_net_delta_pct,total_net_delta_pct,win_rate_delta_pct,trade_count_delta,classification,rank
SBIN,4,8.265272449606847,2.066318112401712,3.0326362248034227,3,1,75.0,4,8.265272449606847,2.066318112401712,3.0326362248034227,3,1,75.0,0.0,0.0,0.0,0,SIMILAR,49
SBFC,7,-3.549999999999987,-0.5071428571428552,-2.6499999999999964,2,5,28.57142857142857,7,-3.549999999999987,-0.5071428571428552,-2.6499999999999964,2,5,28.57142857142857,0.0,0.0,0.0,0,SIMILAR,50
SWIGGY,4,-10.600000000000003,-2.650000000000001,-2.6500000000000012,0,4,0.0,4,-10.600000000000003,-2.650000000000001,-2.6500000000000012,0,4,0.0,0.0,0.0,0.0,0,SIMILAR,51
URBANCO,4,-10.600000000000007,-2.6500000000000017,-2.65,0,4,0.0,4,-10.60000000000001,-2.6500000000000026,-2.650000000000004,0,4,0.0,-8.881784197001252e-16,-3.552713678800501e-15,0.0,0,SIMILAR,52
RUBICON,2,-5.300000000000006,-2.650000000000003,-2.650000000000003,0,2,0.0,1,-2.6500000000000097,-2.6500000000000097,-2.6500000000000097,0,1,0.0,-6.661338147750939e-15,2.6499999999999964,0.0,-1,SIMILAR,53
VIYASH,4,-3.0999999999999854,-0.7749999999999964,-2.6499999999999964,1,3,25.0,5,-5.749999999999991,-1.1499999999999981,-2.6499999999999964,1,4,20.0,-0.3750000000000018,-2.6500000000000057,-5.0,1,WORSENED,54
IDBI,8,-3.725802120085697,-0.4657252650107121,-2.649999999999998,2,6,25.0,6,-5.925802120085698,-0.9876336866809496,-2.649999999999998,1,5,16.666666666666664,-0.5219084216702375,-2.200000000000001,-8.333333333333336,-2,WORSENED,55
KALYANKJIL,7,9.914912280701776,1.4164160401002537,3.3149122807017544,4,3,57.14285714285714,6,5.0649122807017655,0.8441520467836275,0.3324561403508808,3,3,50.0,-0.5722639933166261,-4.85000000000001,-7.142857142857139,-1,WORSENED,56
SAMMAANCAP,7,-3.549999999999973,-0.5071428571428533,-2.649999999999992,2,5,28.57142857142857,5,-5.749999999999984,-1.1499999999999968,-2.649999999999992,1,4,20.0,-0.6428571428571435,-2.200000000000011,-8.57142857142857,-2,WORSENED,57
IXIGO,5,9.25000000000001,1.850000000000002,4.85,3,2,60.0,4,4.4000000000000075,1.1000000000000019,1.1000000000000063,2,2,50.0,-0.7500000000000002,-4.850000000000003,-10.0,-1,WORSENED,58
MOREPENLAB,5,1.7500000000000404,0.3500000000000081,-2.6499999999999853,2,3,40.0,4,-3.099999999999963,-0.7749999999999907,-2.649999999999987,1,3,25.0,-1.1249999999999987,-4.850000000000003,-15.0,-1,WORSENED,59
CUPID,13,-19.449999999999967,-1.4961538461538437,-2.6499999999999977,2,11,15.384615384615385,8,-21.199999999999967,-2.649999999999996,-2.6499999999999977,0,8,0.0,-1.1538461538461522,-1.75,-15.384615384615385,-5,WORSENED,60
ASTERDM,4,4.399999999999983,1.0999999999999956,1.0999999999999959,2,2,50.0,3,-0.4500000000000193,-0.15000000000000643,-2.6500000000000097,1,2,33.33333333333333,-1.250000000000002,-4.850000000000001,-16.66666666666667,-1,WORSENED,61
GROWW,6,-0.8999999999999733,-0.14999999999999555,-2.6499999999999893,2,4,33.33333333333333,4,-10.599999999999978,-2.6499999999999946,-2.649999999999995,0,4,0.0,-2.499999999999999,-9.700000000000005,-33.33333333333333,-2,WORSENED,62
