exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,scan_status,signal,signal_date,entry,stop_loss,target,risk,reward,risk_reward,rsi,ema_5,ema_13,ema_26,macd,macd_signal,volume_ratio,scan_error
BSE,STOCK,360ONE,360 One WAM,,542772.0,A,360ONE.BO,NO_SIGNAL,NO_SIGNAL,,,,,,,,46.49235382536151,1173.9441734806533,1179.3256911991596,1170.235700429466,9.288958790891229,14.782295558153667,0.15329487376870526,
NSE,STOCK,ZUARI,Zuari Agro Chemicals Limited,INE840M01016,,EQ,ZUARI.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,46.17621539893388,227.8537549133318,228.6427578949829,228.4532836113172,0.21138547140787978,0.3198492527489042,0.6521753078265793,
BSE,STOCK,ADANIENSOL,Adani Energy Solutions,,539254.0,A,ADANIENSOL.BO,NO_SIGNAL,NO_SIGNAL,,,,,,,,28.864999904944227,1434.6484340708698,1502.304717616478,1548.2354671519133,-51.726204883627815,-30.352535601299042,0.29634190894841667,
BSE,STOCK,ABCAPITAL,Aditya Birla Capital,,540691.0,A,ABCAPITAL.BO,NO_SIGNAL,NO_SIGNAL,,,,,,,,45.93076381918018,400.1180355310639,403.21815000819356,403.5219735551996,-0.5178533930969138,1.1894512153028913,0.23402746438011732,
BSE,STOCK,ACMESOLAR,ACME Solar Holdings,,544283.0,A,ACMESOLAR.BO,NO_SIGNAL,NO_SIGNAL,,,,,,,,59.3920208027188,399.57915869676447,394.23592645787704,387.00213879026245,7.928926788146725,6.9656155682393495,3.8493238497214413,
BSE,STOCK,ADANIGREEN,Adani Green Energy,,541450.0,A,ADANIGREEN.BO,NO_SIGNAL,NO_SIGNAL,,,,,,,,41.98361508475425,1282.0449834495303,1298.1700577647896,1331.1405047001306,-35.373310170048626,-37.26193145747038,0.678975042703543,
BSE,STOCK,ABFRL,Aditya Birla Fashion & Retail,,535755.0,A,ABFRL.BO,NO_SIGNAL,NO_SIGNAL,,,,,,,,24.500551679027538,51.346602302503584,53.15676354699201,55.02305245757645,-2.062203408340892,-1.6262332160882218,0.6686970647692694,
BSE,STOCK,ADANIPORTS,Adani Ports & SEZ,,532921.0,A,ADANIPORTS.BO,NO_SIGNAL,NO_SIGNAL,,,,,,,,46.968771283780455,1674.929270724247,1681.1015481746253,1697.9673606741642,-17.831767982146403,-20.673013097517458,3.1123770535435398,
BSE,STOCK,AMBUJACEM,Ambuja Cements,,500425.0,A,500425.BO,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,INSUFFICIENT_DATA_ROWS_29
BSE,STOCK,ADANIPOWER,Adani Power,,533096.0,A,ADANIPOWER.BO,NO_SIGNAL,NO_SIGNAL,,,,,,,,51.57842466458814,207.32982843321707,206.98687406766763,208.3841942189896,-1.4241047381588317,-2.1571777572041273,0.8620700297456505,
