exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,latest_close,avg_volume,liquidity_status,liquidity_reason
NSE,STOCK,GATEWAY,Gateway Distriparks Limited,INE079J01017,,EQ,GATEWAY.NS,54.5,1174798.2,PASS,PASS
NSE,STOCK,GAUDIUMIVF,Gaudium IVF and Women Health Limited,INE0P8B01020,,BE,GAUDIUMIVF.NS,117.23999786376952,116797.45,PASS,PASS
NSE,STOCK,GAYAHWS,Gayatri Highways Limited,INE287Z01012,,EQ,GAYAHWS.NS,1.9600000381469729,274391.95,FAIL,PRICE_TOO_LOW
NSE,STOCK,GAYAPROJ,Gayatri Projects Limited,INE336H01023,,EQ,GAYAPROJ.NS,22.18000030517578,524162.0,FAIL,PRICE_TOO_LOW
NSE,STOCK,GCSL,Gretex Corporate Services Limited,INE199P01028,,EQ,GCSL.NS,595.1500244140625,706974.25,PASS,PASS
NSE,STOCK,GEECEE,GeeCee Ventures Limited,INE916G01016,,BE,GEECEE.NS,369.5,3948.8,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GEEKAYWIRE,Geekay Wires Limited,INE669X01032,,EQ,GEEKAYWIRE.NS,29.38999938964844,256431.2,FAIL,PRICE_TOO_LOW
NSE,STOCK,GEMAROMA,Gem Aromatics Limited,INE06XZ01023,,EQ,GEMAROMA.NS,162.22000122070312,95954.65,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GENCON,Generic Engineering Construction and Projects Limited,INE854S01022,,EQ,GENCON.NS,42.36000061035156,372916.75,FAIL,PRICE_TOO_LOW
NSE,STOCK,GENESYS,Genesys International Corporation Limited,INE727B01026,,EQ,GENESYS.NS,222.6300048828125,1833295.05,PASS,PASS
NSE,STOCK,GENSOL,Gensol Engineering Limited,INE06H201014,,BZ,GENSOL.NS,17.170000076293945,67986.85,FAIL,PRICE_TOO_LOW
NSE,STOCK,GENUSPAPER,Genus Paper & Boards Limited,INE949P01018,,EQ,GENUSPAPER.NS,12.4399995803833,107495.1,FAIL,PRICE_TOO_LOW
NSE,STOCK,GENUSPOWER,Genus Power Infrastructures Limited,INE955D01029,,EQ,GENUSPOWER.NS,339.70001220703125,3242842.4,PASS,PASS
NSE,STOCK,GEOJITFSL,Geojit Financial Services Limited,INE007B01023,,EQ,GEOJITFSL.NS,82.7699966430664,466192.1,PASS,PASS
NSE,STOCK,GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,,EQ,GESHIP.NS,1369.699951171875,918896.4,PASS,PASS
NSE,STOCK,GFLLIMITED,GFL Limited,INE538A01037,,EQ,GFLLIMITED.NS,58.650001525878906,137808.25,PASS,PASS
NSE,STOCK,GHCL,GHCL Limited,INE539A01019,,EQ,GHCL.NS,437.5499877929688,135036.9,PASS,PASS
NSE,STOCK,GHCLTEXTIL,GHCL Textiles Limited,INE0PA801013,,EQ,GHCLTEXTIL.NS,136.72000122070312,829336.25,PASS,PASS
NSE,STOCK,GICHSGFIN,GIC Housing Finance Limited,INE289B01019,,EQ,GICHSGFIN.NS,140.4499969482422,110911.65,PASS,PASS
NSE,STOCK,GICL,Globe International Carriers Limited,INE947T01022,,EQ,GICL.NS,24.0,290100.7,FAIL,PRICE_TOO_LOW
NSE,STOCK,GICRE,General Insurance Corporation of India,INE481Y01014,,EQ,GICRE.NS,358.45001220703125,1129981.45,PASS,PASS
NSE,STOCK,GILLANDERS,Gillanders Arbuthnot & Company Limited,INE047B01011,,EQ,GILLANDERS.NS,104.7300033569336,12889.75,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GILLETTE,Gillette India Limited,INE322A01010,,EQ,GILLETTE.NS,7341.0,13945.2,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GINNIFILA,Ginni Filaments Limited,INE424C01010,,BE,GINNIFILA.NS,42.56999969482422,47806.55,FAIL,PRICE_TOO_LOW
NSE,STOCK,GIPCL,Gujarat Industries Power Company Limited,INE162A01010,,EQ,GIPCL.NS,208.0399932861328,1416103.25,PASS,PASS
NSE,STOCK,GKB,GKB Ophthalmics Limited,INE265D01015,,EQ,GKB.NS,65.80000305175781,266.1111111111111,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GKENERGY,GK Energy Limited,INE1AG301022,,EQ,GKENERGY.NS,128.9600067138672,686565.1,PASS,PASS
NSE,STOCK,GKSL,Gujarat Kidney And Super Speciality Limited,INE0V0W01025,,EQ,GKSL.NS,171.50999450683594,973287.75,PASS,PASS
NSE,STOCK,GKWLIMITED,GKW Limited,INE528A01020,,EQ,GKWLIMITED.NS,1600.0,1834.4,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GLAND,Gland Pharma Limited,INE068V01023,,EQ,GLAND.NS,2932.39990234375,969220.3,PASS,PASS
NSE,STOCK,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,,EQ,GLAXO.NS,2937.5,189326.3,PASS,PASS
NSE,STOCK,GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,,EQ,GLENMARK.NS,2437.199951171875,522794.9,PASS,PASS
NSE,STOCK,GLFL,Gujarat Lease Financing Limited,INE540A01017,,EQ,GLFL.NS,5.659999847412109,5668.0,FAIL,PRICE_TOO_LOW
NSE,STOCK,GLOBAL,Global Education Limited,INE291W01037,,EQ,GLOBAL.NS,116.2699966430664,137512.7,PASS,PASS
NSE,STOCK,GLOBALE,Globale Tessile Limited,INE0URU01010,,EQ,GLOBALE.NS,11.380000114440918,3680.4,FAIL,PRICE_TOO_LOW
NSE,STOCK,GLOBALVECT,Global Vectra Helicorp Limited,INE792H01019,,EQ,GLOBALVECT.NS,142.64999389648438,7582.1,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,INE581X01021,,EQ,GLOBE.NS,1.909999966621399,543197.05,FAIL,PRICE_TOO_LOW
NSE,STOCK,GLOBECIVIL,Globe Civil Projects Limited,INE0V3U01015,,EQ,GLOBECIVIL.NS,48.91999816894531,125289.75,FAIL,PRICE_TOO_LOW
NSE,STOCK,GLOBUSSPR,Globus Spirits Limited,INE615I01010,,EQ,GLOBUSSPR.NS,919.6500244140624,99889.35,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GLOSTERLTD,Gloster Limited,INE350Z01018,,EQ,GLOSTERLTD.NS,590.75,1945.4,FAIL,VOLUME_TOO_LOW
