exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,ADVENTHTL,Advent Hotels International,,544446,B,ADVENTHTL.BO,ADVENTHTL.BO,data_symbol,203,2026-09-04,
BSE,STOCK,ADVENZYMES,Advanced Enzyme Tech,,540025,B,ADVENZYMES.BO,ADVENZYMES.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADVIKCA,Advik Capital,,539773,B,ADVIKCA.BO,ADVIKCA.BO,data_symbol,250,2026-09-04,
BSE,STOCK,ADVLIFE,Advance Lifestyles,,521048,X,ADVLIFE.BO,ADVLIFE.BO,data_symbol,249,2026-09-03,
BSE,STOCK,ADVPETR-B,Advanced Petrochemicals,,506947,XT,ADVPETR-B.BO,ADVPETR-B.BO,data_symbol,251,2026-09-04,
BSE,STOCK,AEGISLOG,Aegis Logistics,,500003,A,AEGISLOG.BO,AEGISLOG.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AEGISVOPAK,Aegis Vopak Terminals,,544407,A,AEGISVOPAK.BO,AEGISVOPAK.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AEIM,Artificial Electronics Intelligent,,526443,X,AEIM.BO,AEIM.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AEL,Amba Enterprises,,539196,X,AEL.BO,AEL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AEONXDIGI,Aeonx Digital Technology,,524594,X,AEONXDIGI.BO,AEONXDIGI.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AEPL,Artemis Electricals,,542670,B,AEPL.BO,AEPL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AEQUS,Aequs,,544634,B,AEQUS.BO,AEQUS.BO,data_symbol,184,2026-09-04,
BSE,STOCK,AEROENTER,Aeroflex Enterprises,,511076,B,AEROENTER.BO,AEROENTER.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AEROFLEX,Aeroflex Industries,,543972,B,AEROFLEX.BO,AEROFLEX.BO,data_symbol,250,2026-09-04,
