trades,wins,losses,win_rate_pct,avg_net_pct,median_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,median_holding_days,target_exits,stop_exits,time_exits,symbol,exchange
7,3,4,42.857142857142854,0.5146428571428736,-2.7012499999999773,0.6646428571428737,4.802500000000015,-2.7012499999999826,1.333410458121253,0.5146428571428736,3.1677529435129914,-7.886818488140768,8.285714285714286,7.0,3,4,0,ITC.NS,NSE
7,3,4,42.857142857142854,0.5128571428571529,-2.6987500000000018,0.6628571428571531,4.797500000000007,-2.700624999999988,1.332330479055782,0.5128571428571529,3.1556380424987207,-5.3271000156249855,4.714285714285714,4.0,3,4,0,UJJIVANSFB.BO,BSE
5,2,3,40.0,0.3007500000000082,-2.698750000000005,0.4507500000000085,4.802500000000004,-2.7004166666666554,1.1856195031630978,0.3007500000000082,1.175702043331639,-5.327100015624975,5.6,5.0,2,3,0,CANBK.NS,NSE
5,2,3,40.0,0.3002500000000034,-2.6987499999999938,0.4502500000000035,4.800000000000007,-2.6995833333333326,1.185368112363021,0.3002500000000034,1.1734745640747724,-7.882084903953334,6.2,3.0,2,3,0,GMRAIRPORT.BO,BSE
5,2,3,40.0,0.300250000000001,-2.698749999999994,0.45025000000000126,4.8,-2.6995833333333317,1.1853681123630195,0.300250000000001,1.1734745640747501,-7.882084903953313,3.0,3.0,2,3,0,TFCILTD.BO,BSE
10,4,6,40.0,0.299500000000012,-2.699999999999984,0.449500000000012,4.800000000000011,-2.700833333333321,1.1848195001542814,0.299500000000012,2.3528297714587643,-8.60570106949945,5.2,4.0,4,6,0,JIOFIN.NS,NSE
5,2,3,40.0,0.2992500000000094,-2.698749999999997,0.4492500000000095,4.7975000000000145,-2.6995833333333272,1.1847507331378362,0.2992500000000094,1.1686477004711593,-2.698749999999994,4.8,4.0,2,3,0,LICI.NS,NSE
5,2,3,40.0,0.2987500000000137,-2.698749999999999,0.44875000000001386,4.797500000000017,-2.700416666666655,1.1843851257522082,0.2987500000000137,1.1660483338725935,-5.3271000156249855,2.8,1.0,2,3,0,LLOYDSENGG.BO,BSE
5,2,3,40.0,0.29825000000000657,-2.701249999999986,0.44825000000000664,4.797500000000005,-2.7012499999999924,1.1840197439457087,0.29825000000000657,1.1634490340605375,-5.3295324843749885,5.6,6.0,2,3,0,MOREPENLAB.NS,NSE
8,3,5,37.5,0.11265625000000534,-2.698749999999995,0.2626562500000053,4.799166666666674,-2.699249999999996,1.0667778086505544,0.11265625000000534,0.3816723291977464,-5.3271000156249855,2.625,2.5,3,5,0,EPL.BO,BSE
8,3,5,37.5,0.11234375000000452,-2.6987500000000004,0.2623437500000047,4.799166666666676,-2.699749999999998,1.066580238911013,0.11234375000000452,0.3790931826726407,-6.0680275572846165,3.25,2.0,3,5,0,IDBI.NS,NSE
8,3,5,37.5,0.11234375000000435,-2.698749999999997,0.2623437500000044,4.799166666666672,-2.6997499999999954,1.066580238911013,0.11234375000000435,0.3790931826726185,-7.882084903953334,5.25,2.5,3,5,0,ASHOKLEY.NS,NSE
6,2,4,33.33333333333333,-0.1995833333333227,-2.6999999999999886,-0.049583333333322654,4.802500000000006,-2.700624999999987,0.8891460310113454,-0.1995833333333227,-1.5573066081138398,-7.884451726452902,5.166666666666667,4.0,2,4,0,500209.BO,BSE
6,2,4,33.33333333333333,-0.19999999999999027,-2.698749999999996,-0.04999999999999005,4.800000000000008,-2.699999999999989,0.888888888888894,-0.19999999999999027,-1.5594739175872507,-10.370420085485232,5.5,4.0,2,4,0,GMRAIRPORT.NS,NSE
3,1,2,33.33333333333333,-0.2008333333333181,-2.6987499999999955,-0.050833333333318485,4.797500000000015,-2.699999999999985,0.8884259259259337,-0.2008333333333181,-0.7851676388745621,-2.7012499999999773,2.3333333333333335,1.0,1,2,0,IXIGO.BO,BSE
3,1,2,33.33333333333333,-0.2008333333333184,-2.6987499999999907,-0.050833333333318485,4.797500000000019,-2.699999999999987,0.8884259259259337,-0.2008333333333184,-0.7851676388745732,-2.698749999999994,5.666666666666667,5.0,1,2,0,IDFCFIRSTB.NS,NSE
6,2,4,33.33333333333333,-0.20083333333331935,-2.701249999999983,-0.05083333333331944,4.800000000000011,-2.701249999999985,0.8884775566867262,-0.20083333333331935,-1.5645323963552893,-5.329532484374977,2.1666666666666665,2.0,2,4,0,VEDL.BO,BSE
6,2,4,33.33333333333333,-0.20083333333332196,-2.6987499999999986,-0.05083333333332233,4.79750000000001,-2.6999999999999877,0.8884259259259318,-0.20083333333332196,-1.5641703955377895,-10.370420085485232,2.3333333333333335,2.5,2,4,0,SAMMAANCAP.BO,BSE
6,2,4,33.33333333333333,-0.20083333333332556,-2.7012499999999893,-0.050833333333325736,4.800000000000013,-2.701249999999995,0.8884775566867231,-0.20083333333332556,-1.5645323963553448,-5.3295324843749885,5.333333333333333,4.5,2,4,0,500325.BO,BSE
3,1,2,33.33333333333333,-0.20083333333332862,-2.698750000000009,-0.050833333333328845,4.79750000000001,-2.699999999999998,0.8884259259259285,-0.20083333333332862,-0.7851676388745954,-2.7012499999999884,15.0,19.0,1,2,0,500112.BO,BSE
10,3,7,30.0,-0.44962499999999406,-2.698750000000002,-0.2996249999999939,4.80083333333334,-2.699821428571423,0.7620874396454819,-0.44962499999999406,-4.963667437933883,-11.06763482081654,3.5,2.5,3,7,0,PFC.BO,BSE
10,3,7,30.0,-0.44987499999999114,-2.6987499999999915,-0.29987499999999107,4.799166666666679,-2.699464285714278,0.7619236621022731,-0.44987499999999114,-4.965759753135568,-7.88208490395329,4.9,3.5,3,7,0,NMDC.NS,NSE
10,3,7,30.0,-0.4498749999999931,-2.6987499999999924,-0.2998749999999931,4.799166666666676,-2.6994642857142805,0.761923662102272,-0.4498749999999931,-4.965759753135568,-7.882084903953313,5.4,3.5,3,7,0,NMDC.BO,BSE
7,2,5,28.57142857142857,-0.5569642857142727,-2.6987499999999893,-0.406964285714273,4.800000000000012,-2.6997499999999865,0.7111769608297117,-0.5569642857142727,-4.216137615236326,-8.605364962893391,2.5714285714285716,1.0,2,5,0,CUPID.BO,BSE
7,2,5,28.57142857142857,-0.5569642857142815,-2.698750000000006,-0.40696428571428206,4.80000000000001,-2.699749999999998,0.7111769608297084,-0.5569642857142815,-4.216137615236393,-7.882084903953324,3.0,2.0,2,5,0,SBFC.BO,BSE
4,1,3,25.0,-0.8240624999999903,-2.6987499999999978,-0.6740624999999902,4.8025,-2.6995833333333206,0.5929927457941069,-0.8240624999999903,-3.458122031465638,-7.882084903953279,1.5,1.0,1,3,0,HFCL.NS,NSE
4,1,3,25.0,-0.8240624999999991,-2.698749999999996,-0.6740624999999992,4.802500000000001,-2.6995833333333326,0.5929927457941043,-0.8240624999999991,-3.4581220314656935,-5.327100015625009,5.25,4.5,1,3,0,TFCILTD.NS,NSE
8,2,6,25.0,-0.8249999999999915,-2.698750000000004,-0.6749999999999914,4.80000000000001,-2.6999999999999917,0.5925925925925957,-0.8249999999999915,-6.803499197904783,-10.370420085485243,3.875,3.0,2,6,0,JSWENERGY.BO,BSE
4,1,3,25.0,-0.8253124999999918,-2.698749999999996,-0.675312499999992,4.797500000000004,-2.6995833333333237,0.5923753665689175,-0.8253124999999918,-3.4627279272204436,-2.7012499999999773,1.25,1.0,1,3,0,GROWW.BO,BSE
4,1,3,25.0,-0.8253124999999933,-2.6987499999999973,-0.6753124999999934,4.797500000000013,-2.699583333333328,0.5923753665689176,-0.8253124999999933,-3.4627279272204547,-5.324667484375,2.25,1.5,1,3,0,MAHABANK.BO,BSE
4,1,3,25.0,-0.8259374999999864,-2.699999999999986,-0.6759374999999865,4.797500000000015,-2.7004166666666536,0.5921925628761041,-0.8259374999999864,-3.465208298029454,-5.329532484374965,2.5,1.0,1,3,0,VIYASH.BO,BSE
