variant,symbol,exchange,signal_date,entry_date,exit_date,direction,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,mapped_regime,signal_close,rsi,ema_5,ema_13,ema_26,ema_5_13_signed_pct,ema_13_26_signed_pct,ema_5_26_signed_pct,ema_5_13_abs_pct,ema_13_26_abs_pct,ema_5_26_abs_pct,macd,macd_signal,macd_histogram,macd_histogram_pct,macd_histogram_abs_pct,volume_ratio,extension_pct,extension_abs_pct,ema13_event_age,ema26_event_age,macd_event_age,rsi_event_age,max_event_age,min_event_age,data_symbol
EMA_MACD,HFCL,NSE,2024-12-12,2024-12-13,2024-12-19,SHORT,124.41999816894533,127.53049812316895,118.19899826049806,118.19899826049806,TARGET,5,5.263157894736836,5.113157894736836,NEUTRAL,NEUTRAL,124.7699966430664,43.76133685424376,127.20676524098323,128.26440450715648,128.5538032609485,-0.8245773800121166,-0.22511878019243356,-1.0478398816649241,0.8245773800121166,0.22511878019243356,1.0478398816649241,-0.30735794500415636,-0.06392175851880373,-0.24343618648535265,-0.19510795306163106,0.19510795306163106,0.6912510132186388,-1.915596700616164,1.915596700616164,1.0,1.0,0.0,,1.0,0.0,HFCL.NS
EMA_MACD,HFCL,NSE,2025-05-02,2025-05-05,2025-05-05,SHORT,78.51000213623047,80.47275218963622,74.58450202941894,80.47275218963622,STOP_LOSS,1,-2.439024390243893,-2.5890243902438934,NEUTRAL,NEUTRAL,78.05000305175781,41.56251970982113,80.26785883089434,81.25128272047832,81.71993377108123,-1.2103487559293826,-0.5734843739787265,-1.776891968922208,1.2103487559293826,0.5734843739787265,1.776891968922208,-0.49360378759438106,-0.3707929750151795,-0.12281081257920157,-0.15734888888826978,0.15734888888826978,0.5788900320909398,-2.7630683207945443,2.7630683207945443,1.0,1.0,0.0,15.0,15.0,0.0,HFCL.NS
EMA_MACD,HFCL,NSE,2025-05-15,2025-05-16,2025-05-16,LONG,90.8000030517578,88.53000297546384,95.34000320434568,88.53000297546384,STOP_LOSS,1,-2.5000000000000133,-2.650000000000013,NEUTRAL,NEUTRAL,90.08000183105467,63.69123123590299,84.49674924993927,81.86412131272286,81.48817895117212,3.2158507231265725,0.4613458864702413,3.6920328046229813,3.2158507231265725,0.4613458864702413,3.6920328046229813,0.5002781162629901,-0.5472867472200955,1.0475648634830856,1.1629272226790102,1.1629272226790102,2.214544592361527,6.607653703458202,6.607653703458202,2.0,1.0,2.0,0.0,2.0,0.0,HFCL.NS
EMA_MACD,HFCL,NSE,2025-06-19,2025-06-20,2025-06-20,SHORT,79.37000274658203,81.35425281524658,75.40150260925293,81.35425281524658,STOP_LOSS,1,-2.4390243902439046,-2.5890243902439045,NEUTRAL,NEUTRAL,79.37000274658203,35.51628471384001,82.83843138829279,85.60395910073463,85.9277432633021,-3.230607254026064,-0.37680980585668283,-3.595243814960859,3.230607254026064,0.37680980585668283,3.595243814960859,-0.4757787656370027,0.8690062916133331,-1.344785057250336,-1.6943240654080076,1.6943240654080076,0.6169759215331581,-4.186980105227991,4.186980105227991,3.0,2.0,4.0,0.0,4.0,0.0,HFCL.NS
EMA_MACD,HFCL,NSE,2025-07-03,2025-07-04,2025-07-18,SHORT,84.51000213623047,86.62275218963622,80.28450202941895,81.55999755859375,TIME_EXIT,11,3.616974823371466,3.466974823371466,BULL,BULL,84.5199966430664,46.922032894516406,85.46076422660619,85.50976071850705,85.61926752562238,-0.05729929716697385,-0.12789972430277172,-0.18512573582664157,0.05729929716697385,0.12789972430277172,0.18512573582664157,-0.1291310399589065,-0.11489896394079988,-0.014232076018106637,-0.016838708688323364,0.016838708688323364,0.4495944991791179,-1.1008181263687966,1.1008181263687966,0.0,0.0,0.0,10.0,10.0,0.0,HFCL.NS
EMA_MACD,HFCL,NSE,2025-10-03,2025-10-06,2025-10-07,LONG,76.0,74.1,79.8,74.1,STOP_LOSS,2,-2.500000000000002,-2.650000000000002,BULL,BULL,75.87000274658203,54.76602742367608,74.44495052083462,74.26161060622144,74.0513111579325,0.24688383825306584,0.28399152560637425,0.5315764930381706,0.24688383825306584,0.28399152560637425,0.5315764930381706,0.24683060581193672,0.16467955531809828,0.08215105049383845,0.10827869713967998,0.10827869713967998,0.9066797272289219,1.9142362454100676,1.9142362454100676,0.0,0.0,0.0,10.0,10.0,0.0,HFCL.NS
EMA_MACD,HFCL,NSE,2025-10-10,2025-10-13,2025-10-28,LONG,75.51000213623047,73.6222520828247,79.28550224304199,75.66000366210938,TIME_EXIT,11,0.1986512006823648,0.0486512006823648,BULL,BULL,76.04000091552734,55.24255981136147,74.69299890178598,74.40346386111942,74.18613183085976,0.3891418835109703,0.2929550643712763,0.6832369587375817,0.3891418835109703,0.2929550643712763,0.6832369587375817,0.2460899817637454,0.17924330612810066,0.06684667563564475,0.08790988273383185,0.08790988273383185,1.139124729726971,1.803384565550161,1.803384565550161,0.0,0.0,0.0,15.0,15.0,0.0,HFCL.NS
EMA_MACD,HFCL,NSE,2026-01-13,2026-01-14,2026-01-14,SHORT,62.68000030517578,64.24700031280517,59.54600028991699,64.24700031280517,STOP_LOSS,1,-2.439024390243893,-2.5890243902438934,BULL,BULL,62.68000030517578,39.19569007274631,64.67389488086671,65.78159683498039,66.71123795835493,-1.6839085814417953,-1.3935300135711377,-3.053972823529442,1.6839085814417953,1.3935300135711377,3.053972823529442,-0.9939622876859175,-0.9247292533424877,-0.06923303434342987,-0.11045474474529154,0.11045474474529154,0.5932940520603095,-3.082997520659312,3.082997520659312,1.0,2.0,0.0,0.0,2.0,0.0,HFCL.NS
EMA_MACD,HFCL,NSE,2026-02-04,2026-02-05,2026-02-05,LONG,68.51000213623047,66.7972520828247,71.935502243042,71.935502243042,TARGET,1,5.000000000000004,4.850000000000004,NEUTRAL,NEUTRAL,68.8499984741211,57.10607184810666,67.41741235684462,65.95687234169097,65.85226762952075,2.214386406297885,0.1588475476026303,2.3767514524013658,2.214386406297885,0.1588475476026303,2.3767514524013658,0.18469205356178975,-0.548773089051561,0.7334651426133507,1.0653088727213857,1.0653088727213857,1.2495358443994269,2.1249497232164636,2.1249497232164636,3.0,3.0,4.0,94.0,94.0,3.0,HFCL.NS
EMA_MACD,HFCL,NSE,2026-03-12,2026-03-13,2026-03-13,LONG,76.0,74.1,79.8,74.1,STOP_LOSS,1,-2.500000000000002,-2.650000000000002,BEAR,BEAR,74.47000122070312,62.74916016341111,71.57360982437658,70.37631016219773,69.70130526117121,1.701282234631808,0.9684250510048042,2.686182928985081,1.701282234631808,0.9684250510048042,2.686182928985081,0.7426401922381132,0.49276474699441475,0.24987544524369842,0.335538392839762,0.335538392839762,3.269392894446379,4.046730915813185,4.046730915813185,1.0,2.0,0.0,0.0,2.0,0.0,HFCL.NS
