variant,exchange,symbol,trades,wins,losses,win_rate_pct,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct
CURRENT,NSE,SWIGGY,2,0,2,0.0,-2.6500000000000012,0.0,-5.229775000000004,-2.649999999999997
CURRENT,NSE,TATASTEEL,4,2,2,50.0,0.7430998792406182,1.8443119496024862,2.845276910119665,-2.6499999999999857
CURRENT,NSE,TFCILTD,6,1,5,16.666666666666664,-1.3999999999999986,0.36603773584905724,-8.325570900514656,-10.186044534493755
CURRENT,NSE,UJJIVANSFB,7,4,3,57.14285714285714,1.066566950954518,1.9391155542995768,7.2649502224190865,-2.650000000000008
CURRENT,NSE,URBANCO,2,0,2,0.0,-2.65,0.0,-5.229774999999992,-2.649999999999997
CURRENT,NSE,VEDL,6,1,5,16.666666666666664,-1.399999999999994,0.36603773584905763,-8.325570900514611,-7.741185962499964
CURRENT,NSE,VMM,3,3,0,100.0,4.850000000000008,inf,15.267083412499982,0.0
CURRENT,NSE,ZEEL,7,5,2,71.42857142857143,2.001597091172498,3.643618799661795,14.501839718905106,-2.650000000000019
LONG_RSI_ZONE,BSE,ADANIPOWER,3,1,2,33.33333333333333,-0.15000000000000377,0.9150943396226395,-0.6334190874999979,-5.229774999999992
LONG_RSI_ZONE,BSE,ASTERDM,3,1,2,33.33333333333333,-0.15000000000000643,0.9150943396226383,-0.633419087500009,-5.229775000000004
LONG_RSI_ZONE,BSE,AYE,1,1,0,100.0,4.849999999999996,inf,4.849999999999999,0.0
LONG_RSI_ZONE,BSE,BAJFINANCE,5,3,2,60.0,1.449740171399354,2.367679406980521,7.153803575917128,-2.650000000000008
LONG_RSI_ZONE,BSE,CGCL,9,1,8,11.11111111111111,-1.8166666666666684,0.22877358490566035,-15.422258937166045,-13.119937274952287
LONG_RSI_ZONE,BSE,COALINDIA,9,1,8,11.11111111111111,-2.0998537888468913,0.011443180084790155,-17.419869532589495,-16.26641479922146
LONG_RSI_ZONE,BSE,CUPID,4,0,4,0.0,-2.6499999999999937,0.0,-10.186044534493721,-7.741185962499985
LONG_RSI_ZONE,BSE,EPL,6,3,3,50.0,1.1000000000000054,1.8301886792452888,6.344044131988413,-2.649999999999997
LONG_RSI_ZONE,BSE,ETERNAL,6,1,5,16.666666666666664,-1.3999999999999961,0.3660377358490573,-8.325570900514645,-5.830067694416686
LONG_RSI_ZONE,BSE,GMRAIRPORT,6,2,4,33.33333333333333,-0.5224858834259899,0.7042532735324581,-3.367444203216574,-10.186044534493732
LONG_RSI_ZONE,BSE,GROWW,2,0,2,0.0,-2.649999999999994,0.0,-5.229774999999992,-2.650000000000008
LONG_RSI_ZONE,BSE,HINDCOPPER,3,1,2,33.33333333333333,-0.14999999999999414,0.9150943396226446,-0.6334190874999868,-2.6499999999999857
LONG_RSI_ZONE,BSE,ICICIPRULI,8,3,5,37.5,0.16250000000000292,1.0981132075471718,0.7824898979846839,-12.566114354329672
LONG_RSI_ZONE,BSE,IDFCFIRSTB,4,1,3,25.0,-0.7749999999999946,0.6100628930817629,-3.266633481681225,-2.650000000000008
LONG_RSI_ZONE,BSE,INFY,6,2,4,33.33333333333333,-0.5811444426459637,0.6710503154834161,-3.698876556269848,-5.229774999999992
LONG_RSI_ZONE,BSE,INOXWIND,7,4,3,57.14285714285714,1.6357142857142875,2.4402515723270444,11.50173027238981,-5.229775000000004
LONG_RSI_ZONE,BSE,IOC,5,4,1,80.0,2.3935418062574576,5.516116615580115,12.288483702662823,-2.649999999999997
LONG_RSI_ZONE,BSE,IXIGO,4,2,2,50.0,1.1000000000000019,1.8301886792452848,4.1858600867562545,-2.6499999999999857
LONG_RSI_ZONE,BSE,JIOFIN,7,5,2,71.42857142857143,2.4413814914004024,4.224466120717523,17.961237331496793,-2.649999999999997
LONG_RSI_ZONE,BSE,JSWENERGY,9,3,6,33.33333333333333,-0.14999999999999838,0.9150943396226424,-1.8882460843118731,-10.186044534493732
LONG_RSI_ZONE,BSE,KALYANKJIL,6,3,3,50.0,0.8441520467836275,1.6370958843650028,4.7870824136524215,-2.650000000000008
LONG_RSI_ZONE,BSE,LENSKART,1,0,1,0.0,-2.6500000000000044,0.0,-2.650000000000008,0.0
LONG_RSI_ZONE,BSE,LLOYDSENGG,5,2,3,40.0,0.35000000000000614,1.2201257861635264,1.4249347944572444,-5.2297749999999805
LONG_RSI_ZONE,BSE,MAHABANK,4,1,3,25.0,-0.7749999999999962,0.6100628930817624,-3.266633481681236,-5.229775000000004
LONG_RSI_ZONE,BSE,MOTHERSON,5,1,4,20.0,-1.1499999999999972,0.45754716981132154,-5.830067694416674,-7.741185962499997
LONG_RSI_ZONE,BSE,NMDC,11,4,7,36.36363636363637,-0.13302931602439996,0.9099940555321259,-1.9523277904507919,-6.095429916708883
LONG_RSI_ZONE,BSE,NORTHARC,2,0,2,0.0,-2.6499999999999977,0.0,-5.229774999999992,-2.649999999999997
LONG_RSI_ZONE,BSE,NTPC,3,2,1,66.66666666666666,1.2597744360902299,2.426159738970075,3.6835135957707044,0.0
LONG_RSI_ZONE,BSE,PFC,10,3,7,30.0,-0.39999999999999847,0.7843665768194077,-4.488207563077628,-10.754943271651019
