exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,AVIANSH,Avi Ansh Textile,,212040,NS,AVIANSH.BO,,,0,,AVIANSH.BO: Yahoo returned no data | 212040.BO: Yahoo returned no data
BSE,STOCK,AVIENCE,Avience Biomedicals,,216364,NS,AVIENCE.BO,,,0,,AVIENCE.BO: Yahoo returned no data | 216364.BO: Yahoo returned no data
BSE,STOCK,AVONMERC,Avon Mercantile,,512265,XT,AVONMERC.BO,,,0,,AVONMERC.BO: Yahoo returned no data | 512265.BO: Only 1 rows; minimum is 30
BSE,STOCK,AVPINFRA,AVP Infracon,,211289,NS,AVPINFRA.BO,,,0,,AVPINFRA.BO: Yahoo returned no data | 211289.BO: Yahoo returned no data
BSE,STOCK,AVSL,AVSL Industries,,205279,NT,AVSL.BO,,,0,,AVSL.BO: Yahoo returned no data | 205279.BO: Yahoo returned no data
BSE,STOCK,AVTNPL,Avt Natural Products,,519105,B,AVTNPL.BO,,,0,,AVTNPL.BO: Only 2 rows; minimum is 30 | 519105.BO: Yahoo returned no data
BSE,STOCK,BABAFP,Baba Food Processing,,210809,NS,BABAFP.BO,,,0,,BABAFP.BO: Yahoo returned no data | 210809.BO: Yahoo returned no data
BSE,STOCK,BAGDIGITAL,BAG Convergence,,215182,NS,BAGDIGITAL.BO,,,0,,BAGDIGITAL.BO: Yahoo returned no data | 215182.BO: Yahoo returned no data
BSE,STOCK,BAHETI,Baheti Recycling Industries,,209291,NS,BAHETI.BO,,,0,,BAHETI.BO: Yahoo returned no data | 209291.BO: Yahoo returned no data
BSE,STOCK,BAJAJHIND,Bajaj Hindusthan Sugar,,500032,B,BAJAJHIND.BO,,,0,,BAJAJHIND.BO: Only 2 rows; minimum is 30 | 500032.BO: Yahoo returned no data
BSE,STOCK,BAJGLOB,Bajaj Global,,512261,XT,BAJGLOB.BO,,,0,,BAJGLOB.BO: Yahoo returned no data | 512261.BO: Yahoo returned no data
BSE,STOCK,BALAJIPHOS,Balaji Phosphates,,212610,NS,BALAJIPHOS.BO,,,0,,BALAJIPHOS.BO: Yahoo returned no data | 212610.BO: Yahoo returned no data
BSE,STOCK,BALAXI,Balaxi Pharmaceuticals,,211608,NS,BALAXI.BO,,,0,,BALAXI.BO: Yahoo returned no data | 211608.BO: Yahoo returned no data
BSE,STOCK,BALCO,Solve Plastic Products,,211885,NS,BALCO.BO,,,0,,BALCO.BO: Yahoo returned no data | 211885.BO: Yahoo returned no data
BSE,STOCK,BALRAMCHIN,Balrampur Chini Mills,,500038,A,BALRAMCHIN.BO,,,0,,BALRAMCHIN.BO: Only 2 rows; minimum is 30 | 500038.BO: Yahoo returned no data
BSE,STOCK,BANKA,Banka Bioloo,,203099,NS,BANKA.BO,,,0,,BANKA.BO: Yahoo returned no data | 203099.BO: Yahoo returned no data
BSE,STOCK,BARFLEX,Barflex Polyfilms,,212394,NS,BARFLEX.BO,,,0,,BARFLEX.BO: Yahoo returned no data | 212394.BO: Yahoo returned no data
