exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol
BSE,STOCK,AIMTRON,Aimtron Electronics,,211636,NS,AIMTRON.BO
BSE,STOCK,AIRAN,Airan,,543811,B,AIRAN.BO
BSE,STOCK,AIRFLOA,Airfloa Rail Technology,,544516,M,AIRFLOA.BO
BSE,STOCK,AIROLAM,Airo Lam,,203532,NS,AIROLAM.BO
BSE,STOCK,AISL,ANI Integrated Services,,200742,NS,AISL.BO
BSE,STOCK,AJANTPHARM,Ajanta Pharma,,532331,A,AJANTPHARM.BO
BSE,STOCK,AJANTSOY,Ajanta Soya,,519216,X,AJANTSOY.BO
BSE,STOCK,AJAXENGG,Ajax Engineering,,544356,B,AJAXENGG.BO
BSE,STOCK,AJCJEWEL,AJC Jewel Manufacturers,,544425,MT,AJCJEWEL.BO
BSE,STOCK,AJCON,Ajcon Global Services,,511692,X,AJCON.BO
BSE,STOCK,AJMERA,Ajmera Realty & Infra,,513349,B,AJMERA.BO
BSE,STOCK,AJOONI,Ajooni Biotech,,209169,NS,AJOONI.BO
BSE,STOCK,AJWAFUN,Ajwa Fun World & Resort,,526628,P,AJWAFUN.BO
BSE,STOCK,AKANKSHA,Akanksha Power & Infrastructure,,210974,NS,AKANKSHA.BO
BSE,STOCK,AKASH,Akash Infra Projects,,202949,NS,AKASH.BO
BSE,STOCK,AKCAPIT,AK Capital Services,,530499,B,AKCAPIT.BO
BSE,STOCK,AKG,AKG Exim,,202866,NS,AKG.BO
BSE,STOCK,AKI,AKI India,,542020,B,AKI.BO
BSE,STOCK,AKIKO,Akiko Global Services,,211721,NS,AKIKO.BO
BSE,STOCK,AKSHAR,Akshar Spintex,,541303,B,AKSHAR.BO
BSE,STOCK,AKSHARCHEM,AksharChem,,524598,T,AKSHARCHEM.BO
BSE,STOCK,AKSHOPTFBR,Aksh Optifibre,,532351,T,AKSHOPTFBR.BO
BSE,STOCK,AKUMS,Akums Drugs & Pharma,,544222,B,AKUMS.BO
BSE,STOCK,ALANKIT,Alankit,,531082,B,ALANKIT.BO
BSE,STOCK,ALANSCOTT,Alan Scott Enterprises,,539115,XT,ALANSCOTT.BO
BSE,STOCK,ALBERTDAVD,Albert David,,524075,B,ALBERTDAVD.BO
BSE,STOCK,ALCODIS,Alcokraft Distilleries,,201707,NS,ALCODIS.BO
