variant,direction,signal_date,entry_date,exit_date,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,rsi,extension_pct,symbol,exchange,data_symbol
BASE_CURRENT,SHORT,2026-01-09,2026-01-12,2026-01-13,51.060001373291016,52.33650140762329,48.50700130462646,52.33650140762329,STOP_LOSS,2,-2.4999999999999947,-2.6499999999999946,BULL,34.59937985699656,4.563312244229824,LLOYDSENGG,BSE,LLOYDSENGG.BO
EMA_MACD,LONG,2024-12-03,2024-12-04,2024-12-16,79.01000213623047,77.03475208282471,82.960502243042,82.960502243042,TARGET,9,5.000000000000011,4.85000000000001,NEUTRAL,63.66603362231909,3.6402752486663457,LLOYDSENGG,BSE,LLOYDSENGG.BO
EMA_MACD,LONG,2025-01-03,2025-01-06,2025-01-06,85.4800033569336,83.34300327301025,89.75400352478027,83.34300327301025,STOP_LOSS,1,-2.5,-2.65,NEUTRAL,67.10277372414293,7.416925556423276,LLOYDSENGG,BSE,LLOYDSENGG.BO
EMA_MACD,SHORT,2025-01-29,2025-01-30,2025-02-03,77.69000244140625,79.6322525024414,73.80550231933593,73.80550231933593,TARGET,3,5.000000000000011,4.85000000000001,NEUTRAL,43.96529525151348,1.9350372713926596,LLOYDSENGG,BSE,LLOYDSENGG.BO
EMA_MACD,SHORT,2025-04-30,2025-05-02,2025-05-06,54.9900016784668,56.364751720428465,52.24050159454345,52.24050159454345,TARGET,3,5.000000000000008,4.850000000000008,NEUTRAL,41.59710668125233,6.196584146191025,LLOYDSENGG,BSE,LLOYDSENGG.BO
EMA_MACD,LONG,2025-06-26,2025-06-27,2025-06-27,64.51000213623047,62.89725208282471,67.73550224304199,67.73550224304199,TARGET,1,5.0,4.85,BULL,63.07204416896461,6.280521620836529,LLOYDSENGG,BSE,LLOYDSENGG.BO
EMA_MACD,SHORT,2026-01-09,2026-01-12,2026-01-13,51.060001373291016,52.33650140762329,48.50700130462646,52.33650140762329,STOP_LOSS,2,-2.4999999999999947,-2.6499999999999946,BULL,34.59937985699656,4.563312244229824,LLOYDSENGG,BSE,LLOYDSENGG.BO
EMA_MACD,SHORT,2026-02-24,2026-02-25,2026-02-25,48.900001525878906,50.122501564025875,46.455001449584955,50.122501564025875,STOP_LOSS,1,-2.499999999999991,-2.649999999999991,NEUTRAL,43.821915217649064,2.346284658909112,LLOYDSENGG,BSE,LLOYDSENGG.BO
RSI_ZONE,LONG,2024-12-03,2024-12-04,2024-12-16,79.01000213623047,77.03475208282471,82.960502243042,82.960502243042,TARGET,9,5.000000000000011,4.85000000000001,NEUTRAL,63.66603362231909,3.6402752486663457,LLOYDSENGG,BSE,LLOYDSENGG.BO
RSI_ZONE,LONG,2025-01-07,2025-01-08,2025-01-10,86.0999984741211,83.94749851226807,90.40499839782716,83.94749851226807,STOP_LOSS,3,-2.4999999999999964,-2.6499999999999964,NEUTRAL,62.57108596518687,5.3244107226096276,LLOYDSENGG,BSE,LLOYDSENGG.BO
RSI_ZONE,SHORT,2025-05-06,2025-05-07,2025-05-07,48.7599983215332,49.97899827957153,46.32199840545654,49.97899827957153,STOP_LOSS,1,-2.4999999999999885,-2.6499999999999884,NEUTRAL,38.44093050076255,4.45899366942743,LLOYDSENGG,BSE,LLOYDSENGG.BO
RSI_ZONE,LONG,2025-06-26,2025-06-27,2025-06-27,64.51000213623047,62.89725208282471,67.73550224304199,67.73550224304199,TARGET,1,5.0,4.85,BULL,63.07204416896461,6.280521620836529,LLOYDSENGG,BSE,LLOYDSENGG.BO
